Cl32Na32_82254e
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           
52                            266.62826892255003            -212.2284193766956            2.2057189157241597            -214.43413829241976           1404.3910705817434            0.009019761731242344          
53                            267.8157745525258             -212.20354470367863           2.2155427188833334            -214.41908742256197           1404.3910705817434            0.009257843694904136          
54                            269.87384572455284            -212.17286642303748           2.23256839486432              -214.4054348179018            1404.3910705817434            0.00949878610593445           
55                            266.9901746590983             -212.18928455088889           2.2087128305556187            -214.3979973814445            1404.3910705817434            0.009737048279283818          
56                            273.2743278228251             -212.13508532604496           2.2606993493090615            -214.395784675354             1404.3910705817434            0.009971177462222609          
57                            248.0600187942565             -212.34287270415703           2.0521105203901615            -214.3949832245472            1404.3910705817434            0.010186677812348909          
58                            248.26433155284798            -212.33837691476566           2.0538007257017368            -214.3921776404674            1404.3910705817434            0.01039959920787039           
59                            228.48762605054273            -212.4985302430068            1.8901952175783203            -214.3887254605851            1404.3910705817434            0.01062000086716032           
60                            247.83633343848376            -212.33608942198077           2.0502600526119616            -214.38634947459275           1404.3910705817434            0.010851340225060978          
61                            243.90944338943766            -212.36626629452184           2.0177743162114226            -214.38404061073325           1404.3910705817434            0.011070814005568192          
62                            256.8329078742014             -212.25613052343897           2.124685448275266             -214.38081597171424           1404.3910705817434            0.011292802997082357          
63                            269.0821778835295             -212.15283870850752           2.226019214093008             -214.37885792260053           1404.3910705817434            0.011507916375442148          
64                            274.3589128006392             -212.10579907498166           2.2696717272603646            -214.37547080224203           1404.3910705817434            0.011732333500067414          
65                            277.19025879799733            -212.07890864473507           2.2930944252682295            -214.3720030700033            1404.3910705817434            0.01196166581171886           
66                            286.41121929073284            -211.9981371286063            2.3693760853568673            -214.36751321396315           1404.3910705817434            0.012214109767982656          
67                            295.80025741472593            -211.91215364894538           2.4470481906975152            -214.35920183964288           1404.3910705817434            0.012474522293765522          
68                            280.590330665362              -212.0287647939662            2.3212219860215355            -214.34998677998772           1404.3910705817434            0.012714887034716673          
69                            294.7822620501281             -211.90569223125055           2.4386266844525597            -214.34431891570313           1404.3910705817434            0.012938458441884355          
70                            280.1385307102972             -212.0272417481348            2.3174844089407673            -214.34472615707557           1404.3910705817434            0.013139068780049718          
71                            293.3376495683603             -211.9167801833439            2.4266759296064855            -214.34345611295038           1404.3910705817434            0.013354128081095498          
72                            277.469023701789              -212.04771944842042           2.2954005461601295            -214.34311999458055           1404.3910705817434            0.013555303496086435          
73                            280.75301222968204            -212.02260254986123           2.3225677915698757            -214.3451703414311            1404.3910705817434            0.013732501156412868          
74                            293.5646466865702             -211.92161130460627           2.428553794393568             -214.35016509899984           1404.3910705817434            0.013902443168225136          
75                            311.5255060180074             -211.7787059142276            2.577137466072881             -214.35584338030048           1404.3910705817434            0.014080959059800021          
76                            297.96404793273575            -211.89593729792634           2.464948444464775             -214.3608857423911            1404.3910705817434            0.014235798440084492          
77                            310.34761539105966            -211.8015434194872            2.5673932043447016            -214.3689366238319            1404.3910705817434            0.014365644551219485          
78                            308.00688421722583            -211.83307229652016           2.5480291847393755            -214.38110148125952           1404.3910705817434            0.014486210295382997          
79                            314.844052982035              -211.78468820245334           2.604590600884333             -214.38927880333767           1404.3910705817434            0.014597923034981928          
80                            315.2243842789999             -211.79242356575287           2.60773694369092              -214.4001605094438            1404.3910705817434            0.014694381927931155          
81                            312.040193214653              -211.83166568400682           2.5813952864829597            -214.4130609704898            1404.3910705817434            0.01479176167884856           
82                            299.1417557924583             -211.94703355961292           2.4746911942260224            -214.42172475383893           1404.3910705817434            0.014910325482729905          
83                            281.38410011124574            -212.0941111917081            2.3277885526072346            -214.42189974431534           1404.3910705817434            0.015046665035348362          
84                            288.2996403518763             -212.03529692361747           2.3849983075325136            -214.42029523115              1404.3910705817434            0.015187378175232963          
85                            315.87044997631034            -211.80200287016652           2.6130816107628583            -214.41508448092938           1404.3910705817434            0.015331357800098795          
86                            286.3942759444452             -212.03597758635144           2.369235919201368             -214.4052135055528            1404.3910705817434            0.015487058396064563          
87                            322.9956078999687             -211.72468462916973           2.672025456714543             -214.39671008588428           1404.3910705817434            0.015619262935512765          
88                            328.5955671762312             -211.66846582309265           2.71835188771472              -214.38681771080738           1404.3910705817434            0.015746033150069096          
89                            322.7836220022364             -211.70360181093847           2.670271774307256             -214.37387358524572           1404.3910705817434            0.015875984241791655          
90                            324.6754822877157             -211.67516231130418           2.6859224479378194            -214.361084759242             1404.3910705817434            0.016013689588523405          
91                            321.9387436320641             -211.68546227578258           2.663282402137133             -214.3487446779197            1404.3910705817434            0.01617025722417721           
92                            346.3485900095002             -211.4757339582711            2.8652162034636213            -214.34095016173472           1404.3910705817434            0.01632509878633103           
93                            359.2796536635465             -211.36121368338735           2.9721902006973817            -214.33340388408473           1404.3910705817434            0.01648264043506648           
94                            336.60099541597003            -211.54133680677748           2.784577890562128             -214.3259146973396            1404.3910705817434            0.016652128676138866          
95                            324.97410784861285            -211.63089991347576           2.6883928688389913            -214.31929278231476           1404.3910705817434            0.016816689444927195          
