time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           
2058.5                        313.8919672376407             9.206054784877463             4.381955450454854             4.824099334422609             1275.5241011249996            0.010420049923670679          
2059.0                        303.7128214601341             9.070901096238998             4.239853810475802             4.831047285763196             1275.5241011249996            0.010419275386070874          
2059.5                        290.0290953537367             8.884703779582939             4.0488279657492185            4.835875813833721             1275.5241011249996            0.010417193186948474          
2060.0                        277.05861837452204            8.70689090490316              3.867759132436133             4.839131772467026             1275.5241011249996            0.01041394154956827           
2060.5                        276.52493757582425            8.702901106467124             3.860308908382179             4.842592198084944             1275.5241011249996            0.01040949795069388           
2061.0                        288.0681551914401             8.863860542404193             4.021453093726176             4.842407448678017             1275.5241011249996            0.010400817083527244          
2061.5                        284.4384180733368             8.812408950278286             3.970781690796169             4.841627259482117             1275.5241011249996            0.010392738332287543          
2062.0                        288.7660851846256             8.87137921708866              4.0311962488778965            4.840182968210762             1275.5241011249996            0.010382558391423099          
2062.5                        286.93923198388404            8.844516016941453             4.005693240914301             4.838822776027152             1275.5241011249996            0.010372973495621508          
2063.0                        296.7467561001584             8.981424235175156             4.14260701457656              4.838817220598596             1275.5241011249996            0.010362810836789589          
2063.5                        294.1540299888523             8.946505556303944             4.106412363228975             4.840093193074969             1275.5241011249996            0.010353921766172065          
2064.0                        304.932606073293              9.097383498014644             4.256882095337791             4.840501402676853             1275.5241011249996            0.01034667862066078           
2064.5                        314.8274812983222             9.234631771774602             4.395015297042381             4.839616474732221             1275.5241011249996            0.01033633428402955           
2065.0                        308.6592159140801             9.145048856545202             4.30890584875609              4.836143007789113             1275.5241011249996            0.010323331066510587          
2065.5                        305.4808635834703             9.09801846880293              4.264535811379385             4.833482657423545             1275.5241011249996            0.01031163054119824           
2066.0                        305.90459314862585            9.100698531154563             4.270451107950662             4.8302474232039               1275.5241011249996            0.010301286328724714          
2066.5                        293.35106699523425            8.924075878230575             4.095202939498375             4.8288729387322               1275.5241011249996            0.010290645158956831          
2067.0                        307.4946617853802             9.121372471660052             4.292648585607514             4.828723886052538             1275.5241011249996            0.01028109916249771           
2067.5                        308.7784329880295             9.13912876306984              4.310570128067145             4.828558635002695             1275.5241011249996            0.010271063544655437          
2068.0                        322.6576722232985             9.3310281227046               4.504325350764862             4.826702771939738             1275.5241011249996            0.010260362795880844          
2068.5                        315.9690382475769             9.234669083531845             4.4109515178377485            4.823717565694096             1275.5241011249996            0.010249726374566275          
2069.0                        314.3625151036718             9.209983942506021             4.388524334024575             4.821459608481445             1275.5241011249996            0.010235922288370261          
2069.5                        306.8823948081645             9.104935749540923             4.284101292595991             4.820834456944932             1275.5241011249996            0.01022248356818045           
2070.0                        303.4815498934676             9.058060552686243             4.236625242025937             4.821435310660306             1275.5241011249996            0.010209031205458281          
2070.5                        302.8515879122953             9.051572242581608             4.2278309254294655            4.823741317152143             1275.5241011249996            0.010196488146727129          
2071.0                        301.9173373727638             9.042359344612338             4.214788717692142             4.827570626920196             1275.5241011249996            0.010182040032186286          
2071.5                        295.67185440831673            8.957119752002743             4.127601306183575             4.8295184458191684            1275.5241011249996            0.010165645310513931          
2072.0                        303.44450226461424            9.065978008790838             4.236108054343153             4.829869954447685             1275.5241011249996            0.01015069280469918           
2072.5                        302.37225450263304            9.04867309930871              4.221139395010452             4.827533704298258             1275.5241011249996            0.010133812381225973          
2073.0                        304.2550734331925             9.070926652647016             4.247423688767922             4.823502963879093             1275.5241011249996            0.010116278489238564          
2073.5                        293.2175333077852             8.912641539379894             4.093338799187024             4.81930274019287              1275.5241011249996            0.010097683773965879          
2074.0                        305.3405895950363             9.076247433163818             4.262577575959776             4.813669857204041             1275.5241011249996            0.010079087343646636          
2074.5                        302.8747207272128             9.03538625727591              4.228153861264058             4.807232396011852             1275.5241011249996            0.01006190171773596           
2075.0                        304.43864502947093            9.052564573130432             4.249986362046695             4.802578211083738             1275.5241011249996            0.010046982021868878          
2075.5                        295.24229048131855            8.922829960048613             4.121604561482544             4.80122539856607              1275.5241011249996            0.010034347581976858          
